cast,Number_MoviesShows,score
 Yuko Sasaki,1,62.0
 Yul Vazquez,2,53.5
 Yulia Snigir,1,18.0
 Yulian Shchukin,1,21.0
 Yuliia Sobol,1,53.0
 Yuma Uchida,2,61.5
 Yun Bok-in,1,37.0
 Yun Ji-on,1,21.0
 Yun Sang-jeong,1,21.0
 Yun Seo-hyun,1,12.0
 Yun Yoo-sun,2,66.5
 Yurdaer Okur,1,16.0
 Yuri Caceres,1,16.0
 Yuri Krapov,1,54.0
 Yuri Lowenthal,3,37.333333333333336
 Yuri Vargas,2,35.5
 Yuriko Yamaguchi,1,87.0
 Yuriko Yamamoto,1,82.0
 Yuriy Chursin,1,36.0
 Yuriy Kutsenko,1,35.0
 Yury Borisov,1,66.0
 Yussra El Abdouni,1,80.0
 Yusuf Akgün,1,38.0
 Yusuke Iseya,1,80.0
 Yusuke Kobayashi,2,58.5
 Yutaka Matsushige,2,62.0
 Yutaka Takeuchi,1,68.0
 Yutaro,1,18.0
 Yuu Aoi,1,31.0
 Yuuichirou Umehara,2,68.5
 Yuuki Hirose,1,71.0
 Yuvika Chaudhry,1,16.0
 Yuwu Qi,1,55.0
 Yuzuka Nakaya,2,43.5
 Yves Bright,1,10.0
 Yves Flores,1,13.0
 Yvette Monreal,2,56.0
 Yvette Nicole Brown,2,63.0
 Yvon Chouinard,1,38.0
 Yvonne Craig,1,9.0
 Yvonne Sciò,1,7.0
 Yvonne Smith,1,16.0
 Yvonne Strahovski,1,60.0
 Yûzô Hayakawa,1,43.0
 Zabou Breitman,1,29.0
 Zabryna Guevara,1,69.0
 Zabyn Khan,1,12.0
 Zac Efron,2,74.5
 Zac Zedalis,1,11.0
 Zach Appelman,1,56.0
 Zach Callison,2,23.5
 Zach Cherry,1,53.0
 Zach Galifianakis,5,62.4
 Zach Galligan,2,21.5
 Zach Grenier,2,38.0
 Zach Roerig,1,73.0
 Zach Woods,2,62.0
 Zachary Bennett,1,75.0
 Zachary Levi,3,71.33333333333333
 Zachary Oyama,1,59.0
 Zachary Quinto,3,55.333333333333336
 Zachary Ray Sherman,1,74.0
 Zack Lee,1,74.0
 Zack Ward,1,35.0
 Zafer Diper,1,44.0
 Zahary Baharov,1,36.0
 Zahia Dehar,1,62.0
 Zahn McClarnon,2,68.5
 Zaid Zoubi,1,72.0
 Zain Khan Durrani,1,21.0
 Zain Meghji,1,39.0
 Zainab Balogun,1,23.0
 Zainab Johnson,1,79.0
 Zak Hendrikz,1,27.0
 Zak Santiago,1,16.0
 Zak Steiner,1,54.0
 Zaki Tolaimat,1,27.0
 Zakir Hussain,3,8.333333333333334
 Zakir Khan,1,13.0
 Zamani Mbatha,1,20.0
 Zamokuhle Nxasana,1,52.0
 Zanjoe Marudo,1,16.0
 Zanti McCubbing,1,66.0
 Zara Albalushi,1,16.0
 Zara Cully,1,46.0
 Zara JKT48,1,35.0
 Zarina Wahab,1,67.0
 Zarine Khan,2,29.0
 Zawe Ashton,2,57.0
 Zayed Khan,3,35.0
 Zayn Malik,1,68.0
 Zayn Marie Khan,1,34.0
 Zazi Kunene,1,20.0
 Zdenka Procházková,1,32.0
 Zeb Troostwijk,1,35.0
 Zeca Carvalho,1,39.0
 Zeenat Aman,1,19.0
 Zeeshan Ali,1,19.0
 Zehra Fazal,1,68.0
 Zeina,1,37.0
 Zelda Adams,2,37.5
 Zelda Williams,1,45.0
 Zeljko Ivanek,1,79.0
 Zell Steele Morrow,1,72.0
 Zen Gesner,1,28.0
 Zena Grey,2,44.5
 Zendaya ,1,72.0
 Zezé Motta,1,42.0
 Zhang Bojia,1,59.0
 Zhang Dongshen,1,21.0
 Zhang Hanyu,1,67.0
 Zhang Huiwen,1,33.0
 Zhang Jin,2,69.0
 Zhang Jingchu,1,42.0
 Zhang Jiongmin,1,35.0
 Zhang Qi,1,24.0
 Zhang Weixin,1,27.0
 Zhang Yichi,1,11.0
 Zhang Yinyue,1,28.0
 Zhang Yixing,1,45.0
 Zhang Zhehao,1,11.0
 Zhang Ziyi,1,69.0
 Zhao Benshan,1,69.0
 Zhao Lusi,1,35.0
 Zhao Shunran,1,11.0
 Zhao Wei,1,55.0
 Zhao Xin,1,19.0
 Zhong Lu,1,42.0
 Zhou Xun,3,51.333333333333336
 Zhou Zhou,1,22.0
 Zhou Zi Xin,1,19.0
 Zhu Xuan,1,10.0
 Zhu Zhu,2,34.5
 Ziad Rahbani,1,19.0
 Zindzi Okenyo,1,38.0
 Zion Forrest,1,24.0
 Zion Moreno,1,69.0
 Zita Hanrot,1,11.0
 Zo' Kravitz,1,37.0
 Zoe Elora Ebai Mayohchu,1,14.0
 Zoe Hochbaum,1,36.0
 Zoe Kanters,1,28.0
 Zoe Kazan,2,72.0
 Zoe Naylor,1,58.0
 Zoe Saldana,4,64.5
 Zoe Tyson,1,38.0
 Zoey Deutch,2,47.5
 Zoey Meng,1,84.0
 Zofia Wichłacz,1,56.0
 Zolani Mkiva,1,64.0
 Zoltán Fenyvesi,1,61.0
 Zoltán Mucsi,1,61.0
 Zoltán Schneider,1,78.0
 Zooey Deschanel,3,69.0
 Zora Bikangaga,1,47.0
 Zosia Mamet,1,69.0
 Zoya Hussain,2,27.0
 Zoé Charron,1,11.0
 Zoë Kravitz,2,52.5
 Zoë Robins,1,69.0
 Zoë Saldana,1,81.0
 Zsuzsa Jaro,1,78.0
 Zuha Sharma,1,34.0
 Zuleikha Robinson,1,54.0
 Zulfa Maharani,1,45.0
 Zydrunas Savickas,1,30.0
 ake Van Wagoner,1,15.0
 and Chloë Grace Moretz,1,69.0
 and Jeff Bridges,1,50.0
 k.d. lang,1,26.0
 mrish Puri,1,16.0
 nbcu,1,76.0
 with Jessica Harper,1,69.0
 Àgata Roca,1,14.0
 Àlex Monner,1,46.0
 Álex Gadea,1,55.0
 Álex García,1,53.0
 Álex González,1,18.0
 Álvaro Bayona,1,32.0
 Álvaro Cervantes,1,55.0
 Álvaro Espinosa,1,25.0
 Álvaro Guerrero,1,56.0
 Álvaro Rodríguez,1,45.0
 Álvaro Roig,1,33.0
 Ángela Molina,1,45.0
 Áurea Maranhão,1,80.0
 Åsa Wallander,1,16.0
 Çağdaş Onur Öztürk,1,41.0
 Çağlar Çorumlu,1,30.0
 Ève Saint-Louis,1,52.0
 Édouard Tremblay-Grenier,1,63.0
 Érika Mader,1,46.0
 Étienne Rotha Moeng,1,61.0
 Éva Bata,1,78.0
 Òscar Jarque,1,52.0
 Ólafur Darri Ólafsson,2,68.0
 Óscar Casas,2,54.0
 Óscar Jaenada,2,59.5
 Óscar Ladoire,1,37.0
 Óscar Torres,1,56.0
 Óscar Zafra,1,35.0
 Ömer Duran,1,25.0
 Öner Ateş,1,41.0
 Öykü Karayel,1,47.0
 Özge Özpirinçci,1,38.0
 Úrsula Corberó,1,53.0
 Ülkü Duru,1,31.0
 Þorsteinn Bachmann,1,33.0
 İbrahim Büyükak,1,44.0
 İhsan Ceylan,1,23.0
 İlker Kaleli,1,22.0
 İlkin Tüfekçi,1,47.0
 İpek Bilgin,1,72.0
 İpek Filiz Yazıcı,1,74.0
 İrem Sak,1,11.0
 İsmail Filiz,1,72.0
 Şebnem Bozoklu,1,30.0
 Şennur Nogaylar,1,12.0
AJ Bowen,1,50.0
Aadil Khan,1,21.0
Aamir Khan,6,65.83333333333333
Aarohi Patel,1,15.0
Aaron Eckhart,1,44.0
Aaron Johnson,1,23.0
Aaron Kwok,1,33.0
Aaron Moorhead,1,73.0
Aaron Paul,1,77.0
Aaron Pederson,1,68.0
Abbey Lee,1,56.0
Abbi Butler,1,28.0
Abhay Deol,4,56.75
Abhishek Bachchan,5,40.0
Abhishek Banerjee,1,20.0
Abigail Breslin,2,72.5
Abigail Oliver,1,15.0
Abigail Spencer,1,46.0
Acha Septriasa,1,18.0
Adam DeVine,1,44.0
Adam Donshik,1,10.0
Adam Driver,2,71.0
Adam Greaves-Neal,1,55.0
Adam Lambert,1,56.0
Adam Moussamih,1,40.0
Adam Pålsson,1,65.0
Adam Sandler,9,56.44444444444444
Adam Scott,1,65.0
Aden Young,1,55.0
Adesua Etomi,1,23.0
Adhisty Zara,1,15.0
Adhvik Mahajan,1,7.0
Adinia Wirasti,1,10.0
Aditi Mittal,1,8.0
Aditya Modak,1,76.0
Aditya Roy Kapoor,2,46.5
Adjoa Andoh,1,76.0
Adrian Burke,1,26.0
Adrian Grenier,2,53.0
Adrian Jolivet,1,16.0
Adrian Ladron,1,35.0
Adrian Pasdar,2,60.5
Adrian Paul,1,26.0
Adrian Titieni,1,45.0
Adrianna Chlebicka,1,39.0
Adriano Tardiolo,1,82.0
Adrián Suar,1,28.0
Afi Ekulona,1,26.0
Aftab Shivdasani,1,25.0
Ahmad Mazhar,1,27.0
Ahmad Thaher,1,12.0
Ahmed El Sakka,1,13.0
Ahmed Helmy,5,40.0
Ahmed Sylla,1,67.0
Ahu Türkpençe,1,58.0
Ai Weiwei,1,72.0
Ai-Ai de las Alas,1,20.0
Aidan Gillen,1,84.0
Aidan Quinn,1,67.0
Aimee Carrero,1,36.0
Aimee Teegarden,1,49.0
Aislinn Derbez,1,63.0
Ajay Devgn,6,54.0
Akshay Kumar,14,52.57142857142857
Akshaye Khanna,2,38.5
Al Gore,1,78.0
Al Pacino,2,42.5
Alain Moussi,1,38.0
Alain Uy,1,72.0
Alan Aisenberg,1,36.0
Alan Alda,1,56.0
Alan Bates,1,15.0
Alan C. Lim,2,11.0
Alan Cumming,1,50.0
Alan Ladd,1,34.0
Alan Marriott,1,12.0
Alan Rickman,2,49.0
Alan Sabbagh,1,51.0
Alan Young,1,83.0
Alana Austin,1,57.0
Alba Baptista,1,78.0
Alban Lenoir,1,47.0
Albert Finney,1,74.0
Albert Sharpe,1,73.0
Aldo Escalante,1,14.0
Alec Baldwin,2,37.5
Alejandro Sanz,1,9.0
Alejandro Speitzer,1,45.0
Alessandra de Rossi,1,38.0
Alessandro Bernardini,1,24.0
Alessandro Borghi,1,76.0
Alex D. Linz,2,47.0
Alex Honnold,1,83.0
Alex Lawther,1,59.0
Alex Linz,1,32.0
Alex Pettyfer,1,38.0
Alex Wolff,1,65.0
Alexa Ilacad,1,14.0
Alexa PenaVega,1,45.0
Alexa Vega,1,11.0
Alexander Skarsgård,1,44.0
Alexandra Borbély,1,78.0
Alexandra Daddario,1,52.0
Alexandra Kotchef,1,37.0
Alexandra Willers,1,25.0
Alexandre Rodrigues,1,88.0
Alfonso Herrera,1,25.0
Alfre Woodard,1,26.0
Ali Haji,1,22.0
Ali Larter,1,43.0
Ali Suliman,1,31.0
Ali Wong,1,75.0
Alia Bhatt,3,60.333333333333336
Alia Shawkat,1,64.0
Alice Cooper,1,52.0
Alice Eve,1,26.0
Alicia von Rittberg,1,55.0
Aliette Opheim,1,80.0
Alla Tumanian,1,77.0
Allison Janney,1,11.0
Allison Williams,1,61.0
Allu Arjun,1,69.0
Alona Tal,1,28.0
Alyson Leigh Rosenfeld,1,41.0
Ama Qamata,1,72.0
Amala Paul,1,18.0
Amanda Abbington,1,35.0
Amanda Schull,2,54.5
Amanda Seyfried,1,48.0
Amanda Todisco,1,10.0
Amaryllis Fox,1,55.0
Amber Frank,3,21.333333333333332
Amber Rose,1,12.0
Amber Rose Revah,1,25.0
America Young,2,29.5
Amir Bar-Lev,1,75.0
Amit Sadh,2,50.5
Amitabh Bachchan,9,47.111111111111114
Ammy Virk,3,25.0
Amol Palekar,1,64.0
Amrit Maghera,1,50.0
Amruta Subhash,1,46.0
Amy Adams,2,65.0
Amy Forsyth,1,46.0
Amy Johnston,1,49.0
Amy Manson,1,37.0
Amy Poehler,1,53.0
Amy Ryan,1,60.0
Amy Schumer,1,34.0
Amy Seimetz,1,57.0
Amy Winehouse,1,84.0
Ana Caetano,1,46.0
Ana Hartmann,1,41.0
Ana María Estupiñán,2,29.0
Ana Valeria Becerril,1,69.0
Anahí,1,67.0
Analeigh Tipton,1,55.0
Anand Deverakonda,1,34.0
Anders Danielsen Lie,1,72.0
Anders W. Berthelsen,1,74.0
Andovi da Lopez,1,11.0
Andre Gower,1,67.0
Andrea Arcangeli,1,54.0
Andrea Bosca,1,18.0
Andrea Riseborough,1,65.0
Andrei Indreies,1,21.0
Andrew Bachelor,1,36.0
Andrew Divoff,1,50.0
Andrew J. West,1,36.0
Andrew Knowlton,1,52.0
Andrew Suh,1,18.0
Andrew Toth,2,13.0
Andrés Pazos,1,67.0
Andy Dick,1,31.0
Andy Garcia,2,62.5
Andy Lau,1,51.0
Andy Murray,1,25.0
Andy Puddicombe,1,9.0
Andy Samberg,1,72.0
Andy Whitfield,1,68.0
Angayuqaq Oscar Kawagley,1,26.0
Angel Locsin,2,14.5
Angela Bassett,3,50.666666666666664
Angelica Panganiban,1,25.0
Angelina Jolie,4,61.75
Angelique Boyer,1,37.0
Angelo Spagnoletti,1,68.0
Angely Gaviria,1,51.0
Angie Ferro,1,13.0
Anika Noni Rose,1,75.0
Anil Kapoor,8,40.125
Anjelah Johnson-Reyes,1,18.0
Anjelica Bette Fellini,1,82.0
Anki Lidén,1,48.0
Ann Christy,1,2.0
Ann-Margret,1,76.0
Anna Ben,1,43.0
Anna Chipovskaya,1,18.0
Anna Cordell,1,9.0
Anna Friel,2,68.5
Anna Hutchison,1,13.0
Anna Kendrick,1,59.0
Anna Maxwell Martin,1,27.0
Anna Mouglalis,1,39.0
Anna Paquin,2,43.5
Anna Torv,1,69.0
Anna-Maria Sieklucka,1,40.0
Annabeth Gish,2,46.5
Anne Baxter,1,24.0
Anne Cosigny,1,66.0
Anne Curtis,1,19.0
Anne Hathaway,2,64.0
Anne Watanabe,1,69.0
Annette Bening,2,63.0
Annette O'Toole,2,13.5
Annette Ontell,1,68.0
Ansel Elgort,2,49.0
Anson Mount,2,44.5
Anthony Anderson,1,54.0
Anthony Gonzalez,1,88.0
Anthony Head,1,57.0
Anthony Hopkins,3,64.33333333333333
Anthony Jeselnik,2,74.0
Anthony LaPaglia,2,15.0
Anthony Mackie,2,59.5
Anton Yelchin,2,64.0
Antonella Costa,1,25.0
Antonio Banderas,7,51.285714285714285
Antonio Sanint,2,17.0
Antony,1,29.0
Anupam Kher,1,13.0
Anushka Sharma Kohli,1,52.0
Anushka Shetty,2,23.0
Anwulika Alphonsus,1,50.0
Apinya Sakuljaroensuk,1,11.0
April Malloy,1,16.0
Araya A. Hargate,1,12.0
Ardhito Pramono,1,14.0
Ari Gold,1,24.0
Arianne Zucker,1,7.0
Arielle Kebbel,1,48.0
Arisa Date,1,73.0
Arjun Kapoor,1,42.0
Arjun Rampal,1,22.0
Armeena Rana Khan,1,21.0
Arnali Das,1,28.0
Arnold Schwarzenegger,1,78.0
Arvind Swamy,1,18.0
Arya,5,27.0
Arye Gross,1,67.0
Asa Butterfield,1,85.0
Asher Bishop,1,51.0
Ashley Argota,1,50.0
Ashley Benson,1,54.0
Ashley Greene,1,48.0
Ashley Judd,1,36.0
Ashley Tisdale,1,52.0
Ashlynn Yennie,1,26.0
Ashok Kumar,1,19.0
Ashton Kutcher,2,38.5
Ata Demirer,1,31.0
Athena Strates,1,56.0
Atiqah Hasiholan,1,9.0
Aubrey Peeples,2,42.0
Aubrey Plaza,3,53.0
Audrey Fleurot,1,62.0
Audrey Hepburn,1,59.0
Avantika,1,32.0
Avicii,1,77.0
Awkwafina,1,84.0
Axle McCoy,1,8.0
Aylin Kontante,1,30.0
Ayumu Murase,1,88.0
Ayushmann Khurrana,4,65.0
Azealia Banks,1,40.0
Babs Olusanmokun,1,68.0
Bae Suzy,1,80.0
Bahle Mashinini,1,11.0
Bailee Madison,3,35.666666666666664
Baraa Alem,1,49.0
Barbara Alyn Woods,1,23.0
Barbara Hershey,1,52.0
Barbra Streisand,3,47.666666666666664
Barkha Singh,1,12.0
Barnard Hughes,1,12.0
Barry Bostwick,2,41.0
Bartosz Bielenia,1,41.0
Bea Alonzo,2,40.5
Bear Grylls,2,28.0
Beau Bridges,1,47.0
Becky,1,11.0
Begoña Palacios,1,8.0
Bel Powley,1,55.0
Bela Lugosi,1,20.0
Bella Thorne,1,44.0
Belén Rueda,1,46.0
Ben Affleck,1,66.0
Ben Barnes,1,53.0
Ben Freeman,1,27.0
Ben Hyland,1,13.0
Ben Kingsley,3,67.33333333333333
Ben Lyon,1,14.0
Ben Rausch,1,35.0
Ben Savage,1,79.0
Ben Stiller,4,63.0
Ben Whishaw,1,75.0
Benedict Cumberbatch,1,74.0
Benjamin Bradley,1,26.0
Benjamin Dickey,1,73.0
Benny Emmanuel,1,31.0
Benoît Magimel,2,28.0
Bernat Quintana,1,15.0
Bert Kreischer,3,52.666666666666664
Beth Broderick,1,38.0
Bettany Hughes,1,15.0
Bette Midler,2,60.5
Beverley Mitchell,1,41.0
Beyoncé Knowles-Carter,1,80.0
Bharath,1,15.0
Biel Montoro,1,70.0
Big Jay Oakerson,1,12.0
Bikram Choudhury,1,70.0
Bill Bellamy,1,38.0
Bill Briggs,1,25.0
Bill Burr,2,77.0
Bill Gates,1,72.0
Bill Hader,1,64.0
Bill Hicks,3,57.0
Bill Murray,2,61.5
Bill Nighy,2,56.0
Bill Nye,1,43.0
Bill Paxton,3,53.666666666666664
Bill Pullman,1,12.0
Billie Eilish,1,63.0
Billie Joe Armstrong,1,49.0
Billy Bob Thornton,2,44.5
Billy Campbell,1,69.0
Billy Connolly,1,52.0
Billy Crudup,3,74.0
Billy Crystal,2,72.5
Billy Graham,1,7.0
Billy Zane,1,52.0
Binnur Kaya,1,27.0
Bjarke Ingels,1,35.0
Blackpink,1,79.0
Blair Brown,1,18.0
Blanca Portillo,1,54.0
Blanca Suárez,3,52.666666666666664
Blythe Danner,1,68.0
Bo Svenson,1,7.0
Bob Dylan,1,75.0
Bob Newhart,1,70.0
Bob Odenkirk,1,45.0
Bob Peterson,3,75.66666666666667
Bob Probert,1,20.0
Bob Ross,1,69.0
Bobbi Jene Smith,1,57.0
Bobby Berk,1,57.0
Bobby Deol,1,31.0
Bobby Driscoll,1,71.0
Bobby McCulloch,1,65.0
Bobby Robson,1,66.0
Bogdan Iancu,1,45.0
Bokeem Woodbine,2,42.0
Boman Irani,1,24.0
Brad Bird,1,60.0
Brad Dourif,1,48.0
Brad Leland,1,10.0
Brad Pitt,2,56.0
Bradley Cooper,1,39.0
Bradley James,1,66.0
Brady Corbet,1,61.0
Brady Smith,1,10.0
Brandon Auret,1,22.0
Brandon Ingram,1,58.0
Brandon Lee,1,79.0
Brandon Routh,1,61.0
Breckin Meyer,1,46.0
Brenda Blethyn,1,36.0
Brenda Song,2,45.5
Brendan Cowell,1,66.0
Brendan Fletcher,1,39.0
Brendan Fraser,2,38.5
Brendan Gleeson,1,66.0
Brenton Thwaites,1,59.0
Brené Brown,1,48.0
Bret Iwan,1,21.0
Bret Parker,1,75.0
Brian Austin Green,1,17.0
Brian Bonsall,1,43.0
Brian Cox,1,36.0
Brian De Palma,1,82.0
Brian Gleeson,1,40.0
Brian Krause,1,33.0
Brian Patrick Clarke,1,53.0
Brian Posehn,1,28.0
Brianne Howey,1,72.0
Brie Larson,1,84.0
Britt Lower,1,38.0
Britt Robertson,2,61.5
Brittany Murphy,1,59.0
Brittany Snow,2,41.5
Brooke Nevin,1,32.0
Brooke Shields,1,29.0
Bruce Dern,1,14.0
Bruce Greenwood,2,52.0
Bruce Lee,2,77.5
Bruce Willis,3,59.666666666666664
Bruna Louise,1,30.0
Bryan Brown,1,66.0
Bryan Cranston,1,76.0
Bryan Fogel,1,80.0
Bud Luckey,1,66.0
Burgess Meredith,1,16.0
Burl Ives,1,3.0
Burt Reynolds,1,41.0
Buğra Gülsoy,1,38.0
Byung-hun Lee,1,65.0
Bárbara Lennie,2,44.5
Bárbara Mori,1,45.0
Bérénice Bejo,1,76.0
Büşra Pekin,1,44.0
C. Thomas Howell,1,19.0
C.J. Thomason,1,26.0
CM Punk,1,57.0
Cai Guo-Qiang,1,78.0
Cai Hang,1,21.0
Callum Blue,1,28.0
Callum Turner,2,60.0
Cam Clarke,1,61.0
Cameron Diaz,2,49.0
Cameron Monaghan,1,20.0
Camila Lorenzo,1,77.0
Camila Mendes,1,47.0
Camila Sodi,1,24.0
Camilla Belle,1,40.0
Candis Nergaard,1,8.0
Cara Buono,1,10.0
Cara Theobold,1,76.0
Cardi B,1,60.0
Carey Mulligan,2,78.5
Carl Boenish,1,70.0
Carl Lumbly,1,66.0
Carl Malapa,1,43.0
Carla Gugino,1,71.0
Carlos Alazraqui,1,69.0
Carlos Alcántara,1,14.0
Carlos Bardem,1,22.0
Carlos Blanco,1,11.0
Carlos Santos,1,43.0
Carmen Ejogo,1,40.0
Carmen Electra,1,21.0
Carmen Machi,1,29.0
Carmen Maura,1,61.0
Carol Landis,1,20.0
Carole Lombard,2,47.5
Carolina Ardohain,1,34.0
Carolina Domenech,1,52.0
Carolina Gómez,1,27.0
Carolina Ramírez,1,62.0
Caroline Williams,1,32.0
Carrie Aizley,1,51.0
Carroll Shelby,1,24.0
Carson Meyer,1,29.0
Cary Elwes,2,68.0
Cary Grant,3,78.66666666666667
Cary-Hiroyuki Tagawa,1,52.0
Casey Affleck,3,59.333333333333336
Casper Van Dien,2,32.5
Cassandra Ciangherotti,1,43.0
Cate Blanchett,1,75.0
Catherine Zeta-Jones,1,57.0
Cathy Moriarty,1,42.0
Cecilia Roth,1,58.0
Cedric the Entertainer,2,27.0
Celeste M Cooper,1,17.0
Celia Imrie,1,40.0
Celine Cousteau,1,11.0
Chace Crawford,1,37.0
Chad Michael Collins,2,50.0
Chadwick Boseman,2,66.0
Chadwick Hopson,1,38.0
Chandler Canterbury,1,25.0
Chang Chen,1,59.0
Channing Tatum,2,51.5
Chanté Adams,1,61.0
Chapman To,1,15.0
Charles Berling,1,58.0
Charles Bronson,1,34.0
Charles Collins,1,11.0
Charles Fleischer,2,41.0
Charles Grodin,1,51.0
Charles Malik Whitfield,1,19.0
Charles Nelson Reilly,1,30.0
Charley Palmer,1,25.0
Charlie Adler,2,50.5
Charlie Dizon,1,27.0
Charlie Hunnam,1,72.0
Charlie Murphy,2,51.5
Charlie Sheen,1,54.0
Charlie Shotwell,1,52.0
Charlotte Le Bon,1,22.0
Chase Joliet,1,45.0
Chase Stokes,1,76.0
Chavela Vargas,1,76.0
Chelsea Handler,2,42.0
Chelsea Islan,1,59.0
Chelsea Peretti,1,66.0
Chen Kun,1,50.0
Chen Shu-fang,1,52.0
Cher,1,60.0
Cheryl Ladd,1,16.0
Chester Morris,1,6.0
Chevy Chase,2,44.0
Chez Starbuck,1,52.0
Chi Cao,1,59.0
Chiaki Kobayashi,1,83.0
Chien-Ming Wang,1,16.0
Chip Bolcik,1,37.0
Chloe East,1,41.0
Chloë Grace Moretz,2,47.5
Cho Byeong-kyu,1,87.0
Cho Seung-woo,1,64.0
Choi Jin-hyuk,1,31.0
Choi Kang-hee,1,37.0
Chris Brown,1,36.0
Chris Claremont,1,13.0
Chris Diamantopoulos,1,47.0
Chris Elliott,1,42.0
Chris Evans,1,53.0
Chris Farley,1,45.0
Chris Hemsworth,1,76.0
Chris Heuisler,1,20.0
Chris Houghton,1,50.0
Chris Klein,1,16.0
Chris Nelson,1,12.0
Chris O'Dowd,1,73.0
Chris Pine,4,52.0
Chris Pratt,1,60.0
Chris Rock,2,58.0
Christia Visser,1,27.0
Christian Andrén,1,37.0
Christian Bale,6,66.5
Christian Boeving,1,17.0
Christian Camargo,1,66.0
Christian Cooke,1,18.0
Christian Serratos,1,52.0
Christian Slater,4,38.75
Christian Tappan,1,20.0
Christien Anholt,1,34.0
Christina Applegate,1,5.0
Christina Ochoa,1,47.0
Christina Pazsitzky,1,26.0
Christina Ricci,4,47.25
Christine McConnell,1,58.0
Christophe Lambert,1,55.0
Christopher Allport,1,43.0
Christopher Bell,1,48.0
Christopher Eccleston,1,63.0
Christopher Gorham,2,24.0
Christopher Jacot,1,58.0
Christopher Judge,1,45.0
Christopher Lee,1,54.0
Christopher Lloyd,1,48.0
Christopher Plummer,1,70.0
Christopher Reid,1,42.0
Christopher Showerman,1,33.0
Chuck Norris,2,30.0
Chyler Leigh,1,49.0
Claire Coffee,1,25.0
Claire Goose,1,15.0
Clancy Brown,1,64.0
Clara Lago,2,54.5
Clare Dunne,1,76.0
Clare-Hope Ashitey,1,75.0
Clarence Avant,1,53.0
Clarence Nash,1,63.0
Claudia Karvan,1,18.0
Cliff Robertson,1,4.0
Clint Eastwood,2,73.0
Clive Owen,3,62.333333333333336
Coco Rebecca Edogamhe,1,76.0
Cody Longo,1,27.0
Cole Hauser,1,41.0
Cole Howard,1,8.0
Cole Jensen,1,24.0
Cole Sprouse,2,63.5
Colin Farrell,2,55.0
Colin Firth,2,61.0
Colin Ford,1,66.0
Colin Friels,1,39.0
Colin Miller,1,9.0
Colin Quinn,1,21.0
Collin MacKechnie,1,23.0
Columbus Short,1,28.0
Connie Nelson,1,16.0
Connie Sellecca,1,25.0
Connor Lawrence,1,15.0
Conor McGregor,1,66.0
Conrad Pla,1,22.0
Constance Towers,1,72.0
Cora Lee Day,1,74.0
Corbin Bernsen,1,11.0
Corbin Bleu,1,58.0
Corey Haim,1,24.0
Corin Nemec,1,10.0
Cory Kays,1,9.0
Courtney Ford,1,40.0
Craig Ferguson,1,32.0
Craig Nelson,1,83.0
Craig Sechler,1,10.0
Cristela Alonzo,1,27.0
Cristi Puiu,1,43.0
Cristiano Caccamo,1,40.0
Cristine Reyes,1,38.0
Crystal Fox,1,50.0
Cuba Gooding Jr.,1,35.0
Cung Le,1,44.0
Cutter Palacios,1,6.0
Cynthia Dankwa,1,54.0
Cynthia Khan,1,22.0
Cécile De France,1,62.0
César Mateo,1,35.0
D.B. Sweeney,1,62.0
D.L. Hughley,1,13.0
DOUGLAS FAIRBANKS,1,43.0
Daiki Yamashita,1,45.0
Daisuke Ono,1,69.0
Dakota Johnson,1,69.0
Dalila Bela,1,46.0
Damian Lewis,1,44.0
Damian Walshe-Howling,1,58.0
Damián Alcázar,1,64.0
Damon Wayans,1,57.0
Dan Monahan,1,43.0
Dan Renton Skinner,1,73.0
Dan Stevens,1,65.0
Dana Andrews,2,19.5
Dana Carvey,1,37.0
Dane Clark,1,6.0
Dane Cook,4,47.25
Dane DeHaan,1,65.0
Dani Rovira,5,48.2
Danica Curcic,1,72.0
Daniel Bruhl,1,64.0
Daniel Craig,3,73.33333333333333
Daniel Day-Lewis,1,85.0
Daniel Doheny,2,59.5
Daniel Henshall,1,24.0
Daniel Levy,1,46.0
Daniel Radcliffe,1,62.0
Daniel Sharman,1,37.0
Daniel Sosa,1,7.0
Daniel Valdez,1,37.0
Daniel Van Thomas,1,9.0
Daniel W. May,1,38.0
Daniel Wu,1,42.0
Daniela Bobadilla,1,37.0
Daniela Denby-Ashe,1,83.0
Daniela Ramírez,1,8.0
Danielle Macdonald,1,71.0
Danielle Panabaker,1,51.0
Danila Kozlovsky,1,54.0
Danilo Mesquita,2,35.5
Danish Sait,1,7.0
Danna Paola,1,21.0
Danny Aiello,1,86.0
Danny Chan,1,22.0
Danny DeVito,1,47.0
Danny Fields,1,64.0
Danny Glover,1,27.0
Danny Huston,1,18.0
Danny Kaye,1,51.0
Danny Nucci,1,36.0
Danny Pudi,1,48.0
Danny Trejo,3,33.333333333333336
Danny Way,1,28.0
Dante Basco,1,70.0
Daphne Zuniga,1,9.0
Darius Williams,1,30.0
Darsheel Safary,1,14.0
Daryl Hannah,1,8.0
Daryle Lamont Jenkins,1,43.0
Dave Annable,1,45.0
Dave Bautista,1,56.0
Dave Chappelle,2,54.5
Dave Foley,1,76.0
Dave Mccormack,1,62.0
Daveed Diggs,1,25.0
Daveigh Chase,3,62.666666666666664
David A.R. White,1,45.0
David Aaron Stone,1,7.0
David Arquette,1,52.0
David Attenborough,7,82.28571428571429
