cast,Number_MoviesShows,score
 Ali Fazal,1,37.0
 Ali Fisher,1,63.0
 Ali Haji,1,51.0
 Ali Hassan,1,51.0
 Ali Hillis,1,17.0
 Ali Kazmi,1,58.0
 Ali Larter,1,48.0
 Ali Marhyar,2,36.5
 Ali Marsh,1,67.0
 Ali Mawji,1,46.0
 Ali Mir,1,22.0
 Ali Quli Mirza,1,55.0
 Ali Rehman Khan,1,21.0
 Ali Reza,1,21.0
 Ali Sheikh,1,19.0
 Ali Skovbye,1,67.0
 Ali Yoğurtçuoğlu,1,31.0
 Ali Yörenç,1,47.0
 Ali Zafar,3,48.333333333333336
 Ali-Asghar Shahbazi,1,89.0
 Alia Bhatt,3,59.666666666666664
 Alia Nemry,1,19.0
 Alia Shawkat,2,73.0
 Alibaba Akporobome,1,23.0
 Alican Yücesoy,1,23.0
 Alice Belaïdi,2,55.5
 Alice Bocchi,1,51.0
 Alice Braga,2,68.0
 Alice Cooper,1,64.0
 Alice Drummond,2,71.0
 Alice Dwyer,1,39.0
 Alice Englert,3,69.0
 Alice Evans,1,10.0
 Alice Eve,1,39.0
 Alice Ghostley,1,15.0
 Alice Greczyn,1,56.0
 Alice Isaaz,1,62.0
 Alice Kremelberg,1,32.0
 Alice Krige,3,64.33333333333333
 Alice Lowe,4,73.0
 Alice Taglioni,1,53.0
 Alice Valverde,1,69.0
 Alice Ziolkoski,1,24.0
 Alicia Ann Edogamhe,1,76.0
 Alicia Chojnowski,1,49.0
 Alicia Davis Johnson,1,34.0
 Alicia Fernández,1,42.0
 Alicia Jaziz,1,56.0
 Alicia Quiñonez,1,56.0
 Alicia Rubio,1,41.0
 Alicia Sanz,1,52.0
 Alicia Silverstone,1,64.0
 Alicia Sánchez,2,59.0
 Alicia Vikander,4,59.0
 Alida Baldari Calabria,1,53.0
 Alina Boz,1,74.0
 Alina Lozano,1,26.0
 Aline Borges,1,69.0
 Alisha Boe,1,68.0
 Alisha Farrer,1,8.0
 Alison Akin Clark,1,9.0
 Alison Becker,1,13.0
 Alison Botha,1,27.0
 Alison Brie,1,6.0
 Alison Bruce,1,34.0
 Alison Doody,1,82.0
