,director,Number_MoviesShows_dir,dir_average_score
453,Cheng Wei-hao,1,59.0
454,Chester Tam,1,40.0
455,Chia-Liang Liu,1,47.0
456,Chino Moya,1,44.0
457,Chiwetel Ejiofor,1,78.0
458,Cho Il,1,68.0
459,Chris Appelhans,1,71.0
460,Chris Baugh,1,68.0
461,Chris Bell,1,8.0
462,Chris Bolan,1,81.0
463,Chris Bould,2,60.5
464,"Chris Buck, Jennifer Lee",2,71.5
465,Chris Fisher,1,35.0
466,Chris Gorak,1,35.0
467,Chris Howe,1,28.0
468,Chris Kelly,1,73.0
469,Chris Koch,1,42.0
470,Chris Mason Johnson,1,45.0
471,Chris McCoy,1,53.0
472,Chris McKay,1,60.0
473,Chris Miller,1,68.0
474,Chris Moukarbel,1,73.0
475,Chris Nahon,1,49.0
476,Chris Nelson,1,54.0
477,Chris Prynoski,1,26.0
478,Chris Robinson,1,77.0
479,"Chris Roland, Maradona Dias Dos Santos",1,21.0
480,Chris Sivertson,1,37.0
481,Chris Stokes,1,19.0
482,"Chris W. Freeman, Spain Willingham",1,19.0
483,Chris Weitz,2,56.0
484,Chris Zuhdi,1,30.0
485,Christian Alvart,1,46.0
486,Christian Christiansen,1,35.0
487,Christian Ditter,1,63.0
488,Christian Duguay,2,55.5
489,Christopher Bell,1,48.0
490,Christopher Cain,1,37.0
491,Christopher Guest,1,51.0
492,Christopher James Lang,1,10.0
493,Christopher Morahan,1,63.0
494,Christopher Murray,1,12.0
495,"Christopher S. Rech, Brandon Kimber",1,74.0
496,"Christopher Sanders, Dean DeBlois",1,78.0
497,Chuck Russell,1,43.0
498,Chuck Sheetz,1,62.0
499,Ciarán Foy,1,52.0
500,Claude Berri,1,68.0
501,Claudio Fah,1,51.0
502,Claudio Fäh,1,47.0
503,Claudio Noce,1,9.0
504,Clay Glen,1,29.0
505,Clay Kaytis,1,63.0
506,Clay Staub,1,44.0
507,Clay Tweel,1,85.0
508,Clayton Cogswell,1,26.0
509,Clenét Verdi-Rose,1,13.0
510,Clint Eastwood,3,73.33333333333333
511,Clive Tonge,1,42.0
512,Clyde Geronimi,1,32.0
513,"Clyde Geronimi, Jack Kinney, Hamilton Luske",1,61.0
514,"Cody Cameron, Kris Pearn",1,64.0
515,Cody Stokes,1,18.0
516,"Coerte Voorhees, John Voorhees",1,5.0
517,Coke Daniels,1,73.0
518,Coky Giedroyc,1,18.0
519,Cole Sharpe,1,26.0
520,Colin Dench,1,53.0
521,Colin Miller,1,9.0
522,Colin Minihan,1,62.0
523,Collin Schiffli,1,63.0
524,Conrad Helten,1,50.0
525,Constance Marks,1,77.0
526,Cooper Karl,1,53.0
527,Corbin Bernsen,1,29.0
528,Corey Grant,1,12.0
529,"Corey Yuen, Patrick Leung",1,27.0
530,Cosima Spender,1,34.0
531,Cosmo Feilding-Mellen,1,49.0
532,Cosmo Segurson,1,15.0
533,Courtney Hunt,1,52.0
534,Craig Anderson,1,35.0
535,Craig Brewer,3,69.0
536,Craig Gillespie,2,51.0
537,Craig Johnson,2,69.0
538,Craig Macneill,1,54.0
539,Craig Moss,3,31.666666666666668
540,Craig R. Baxley,1,34.0
541,Craig Ross Jr.,1,19.0
542,Crane Wilbur,1,43.0
543,Cristi Puiu,1,43.0
544,"Cristina Costantini, Kareem Tabsch",1,80.0
545,Cristina Jacob,1,45.0
546,Curtis Hanson,1,63.0
547,Cyrus Nowrasteh,1,55.0
548,César Rodrigues,1,48.0
549,Cüneyt Kaya,1,47.0
550,D Ho,1,10.0
551,D. W. Young,1,57.0
552,D.C. Hamilton,1,51.0
553,D.J. Caruso,2,46.0
554,Dado C. Lumibao,1,27.0
555,Dagen K. W. Merrill,1,42.0
556,Dallas Jackson,1,35.0
557,Damian Lee,1,24.0
558,Damien Leone,1,56.0
559,Damien O’Connor,1,62.0
560,"Dan Abraham, Trent Correy",1,65.0
561,"Dan Fraga, William Lau",1,63.0
562,Dan Gilroy,1,54.0
563,Dan Harris,1,42.0
564,"Dan Kwan, Daniel Scheinert",1,71.0
565,Dan Mazer,1,34.0
566,Dan Scanlon,2,75.0
567,Dan Villegas,2,21.0
568,Dan Zeff,1,18.0
569,Dani de la Orden,1,67.0
570,Daniel Ablin,1,14.0
571,Daniel Alfredson,2,43.0
572,Daniel Barber,1,70.0
573,Daniel Benmayor,2,53.0
574,Daniel Burman,1,51.0
575,Daniel Calparsoro,1,51.0
576,Daniel F. Holmes,1,55.0
577,Daniel Farrands,1,27.0
578,Daniel Goldhaber,1,66.0
579,Daniel Gordon,1,9.0
580,Daniel Lee,1,55.0
581,"Daniel Lindsay, T.J. Martin",1,82.0
582,Daniel Lusko,1,17.0
583,Daniel Millican,1,6.0
584,Daniel Monzón,1,42.0
585,Daniel Petrie,1,8.0
586,Daniel Sandu,1,45.0
587,Daniel Schechter,1,58.0
588,Daniel Smith,1,13.0
589,Daniel Sánchez Arévalo,1,70.0
590,Daniel Wilner,1,11.0
591,Daniel Zirilli,1,25.0
592,Daniela Goggi,1,36.0
593,Danny Boyle,2,48.0
594,Danny Cannon,1,46.0
595,Danny Draven,1,10.0
596,Danny Huston,1,18.0
597,Danny Leiner,1,70.0
598,Dante Lam,1,67.0
599,Dante Tomaselli,1,14.0
600,Darin Scott,1,56.0
601,Dario Piana,1,48.0
602,Darnell Martin,1,77.0
603,"Darrell Rooney, Lynne Southerland",1,56.0
604,Darren Lynn Bousman,1,57.0
605,Dave Hand,1,53.0
606,Dave Higby,2,40.5
607,Dave Mullins,1,64.0
608,Dave Needham,1,51.0
609,Dave O'Leske,1,38.0
610,"Dave Skinner, Freddie Waters",1,40.0
611,David Alford,1,80.0
612,"David Allensworth, Monière",1,19.0
613,David Anspaugh,1,25.0
614,David Au,1,30.0
615,"David Benioff, D.B. Weiss",1,40.0
616,David Bruckner,1,61.0
617,David Chirchirillo,1,59.0
618,"David Chuang, Chen Kuan-chung",1,34.0
619,David Cronenberg,1,75.0
620,David Dhawan,3,27.666666666666668
621,David Dobkin,3,57.333333333333336
622,David E. Talbert,2,60.5
623,David Ellis,1,56.0
624,David Evans,1,56.0
625,David Fairhead,1,56.0
626,David Feiss,1,46.0
627,David Frankel,2,62.5
628,David Frazee,1,19.0
629,David Gelb,2,59.5
630,David Gordon Green,2,59.5
631,David Grossman,1,33.0
632,David Grubin,1,18.0
633,David Guy Levy,1,49.0
634,David Hackl,1,43.0
635,David Hand,1,34.0
636,David Hayter,1,45.0
637,David Hemmings,2,12.0
638,David Hunt,1,72.0
639,David Jackson,2,43.5
640,David Kennard,1,62.0
641,David Koepp,1,61.0
642,David LaChapelle,1,75.0
643,David Lam,1,12.0
644,David M. Rosenthal,1,37.0
645,David Mackay,1,38.0
646,David Mackenzie,2,53.5
647,David Marmor,1,63.0
648,David Michôd,1,52.0
649,David Mickey Evans,1,33.0
650,David Miller,1,48.0
651,David Mirkin,1,60.0
652,"David Morris, Jacqui Morris",1,43.0
653,David Oelhoffen,1,43.0
654,David Ogden,1,10.0
655,David Pablos,1,56.0
656,David Paul Meyer,2,69.0
657,David Raymond,1,47.0
658,David Ross,1,45.0
659,David Schalko,1,13.0
660,David Semel,1,40.0
661,David Serrano,1,37.0
662,David Silberg,1,21.0
663,David Sington,1,78.0
664,David Slade,1,54.0
665,David Veloz,1,61.0
666,David Wain,1,63.0
667,David Wall,1,23.0
668,David Winters,1,56.0
669,David Wnendt,1,70.0
670,David Yarovesky,1,64.0
671,David Zeiger,1,39.0
672,David Zucker,1,33.0
673,Davis Guggenheim,3,73.66666666666667
674,Dawn Porter,1,57.0
675,Dean Cundey,1,43.0
676,Dean DeBlois,1,81.0
677,Dean Devlin,1,62.0
678,Dean Matthew Ronalds,1,21.0
679,Declan Dale,1,33.0
680,"Declan Donnellan, Nick Ormerod",1,44.0
681,Declan O'Brien,1,35.0
682,Dee Rees,1,83.0
683,Deepa Mehta,1,58.0
684,Demetri Martin,1,52.0
685,Denis Do,1,76.0
686,Denis Hennelly,1,45.0
687,Denis Villeneuve,1,67.0
688,Deniz Gamze Ergüven,1,38.0
689,Dennis Bartok,1,36.0
690,Dennis Dugan,3,51.333333333333336
691,Dennis Hopper,1,37.0
692,"Dennis Scholl, Kareem Tabsch",1,35.0
693,Dereck Joubert,1,15.0
694,Derek Peck,1,33.0
695,Derick Martini,1,41.0
696,Derrick Borte,1,35.0
697,Derrick Sims,1,16.0
698,Destin Daniel Cretton,1,84.0
699,Devashish Makhija,1,33.0
700,Devin Adair,1,15.0
701,Dewey Nicks,1,37.0
702,Dexter Fletcher,1,68.0
703,Dharmendra Suresh Desai,1,59.0
704,Dharmesh Darshan,1,45.0
705,Dhilip Kumar,1,35.0
706,Dianne Dreyer,1,17.0
707,Diarmuid Lawrence,1,34.0
708,Dibakar Banerjee,1,60.0
709,Dick Rickard,1,54.0
710,Diego Cohen,1,18.0
711,Diego Enrique Osorno,1,24.0
712,Diego Kaplan,1,34.0
713,Diego Lerman,1,21.0
714,Dilip Mehta,1,21.0
715,Dimitri Logothetis,1,38.0
716,Dinesh Vijan,1,36.0
717,Ding-Lin Wang,1,14.0
718,"Director Alex Winter goes inside the biggest global corruption scandal in history that was uncovered by hundreds of journalists, working in secret and at enormous risk.",1,62.0
719,"Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania.",1,73.0
720,Dito Montiel,1,38.0
721,Domenico de Feudis,1,40.0
722,Dominic Sena,1,40.0
723,"Don Bitters, Geoff Reisner",1,24.0
724,Don Bluth,2,62.0
725,Don Chaffey,1,20.0
726,"Don Hall, Chris Williams",1,80.0
727,Don Hartman,1,7.0
728,Don McKellar,1,66.0
729,Don Medford,1,50.0
730,Don Michael Paul,3,47.666666666666664
731,Don Roos,1,67.0
732,Don Sharp,1,47.0
733,Don Siegel,1,82.0
734,Donald Petrie,2,53.5
735,Donick Cary,1,61.0
736,Donovan Cook,1,58.0
737,"Doron Paz, Yoav Paz",1,59.0
738,Doug Campbell,4,18.25
739,Douglas Attal,1,61.0
740,Douglas Barr,1,15.0
741,Douglas McGarth,1,72.0
742,Drake Doremus,1,62.0
743,Drew Casson,1,25.0
744,Drew Gabreski,1,33.0
745,Drew Heriot,1,45.0
746,Drew Waters,1,32.0
747,Duncan Jones,1,44.0
748,Dustin Marcellino,1,41.0
749,Dustin McKenzie,1,59.0
750,Duwayne Dunham,6,45.5
751,Dwight H. Little,1,44.0
752,Dwight Little,1,42.0
753,"Dylan Bank, Daniel DiMauro, Morgan Pehme",1,77.0
754,Dylan Howitt,1,44.0
755,Dylan Mohan Gray,1,42.0
756,Earl Bellamy,1,17.0
757,Ed Perkins,1,78.0
758,Ed Winfield,1,8.0
759,Edoardo Winspeare,1,10.0
760,Eduardo Roy Jr.,1,13.0
761,Edward Burns,1,41.0
762,Edward Drake,1,39.0
763,Edwin,2,30.5
764,Eeshwar Nivas,1,17.0
765,Ekachai Uekrongtham,1,50.0
766,Elaine McMillion Sheldon,1,63.0
767,Elan Bogarín & Jonathan Bogarín,1,68.0
