,title,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score,type,director,cast,country,release_year,rating,duration,description,score,imdbid,genre.Crime,genre.Drama,genre.Thriller,genre.Action,genre.Horror,genre.Science_Fiction,genre.Music,genre.Reality,genre.Romance,genre.Comedy,genre.Mystery,genre.Documentary,genre.History,genre.Teen,genre.Health_&_Wellness,genre.Lifestyle,genre.Culture,genre.Black_Stories,genre.News,genre.Latino,genre.Adventure,genre.Anime,genre.Talk_Show,genre.Sketch_Comedy,genre.Family,genre.Kids,genre.Classics,genre.LGBTQ,genre.Adult_Animation,genre.Sitcom,genre.Cooking_&_Food,genre.Sports,genre.Game_Shows,genre.International,genre.Cartoons,genre.Science_&_Technology,genre.Stand_Up,genre.Special_Interest,genre.Suspense,genre.TV_Shows,"genre.Arts,_Entertainment,_and_Culture",genre.Variety,genre.Fantasy,genre.Young_Adult_Audience,genre.Animation,genre.Western,genre.Arthouse,genre.Unscripted,genre.Faith_and_Spirituality,genre.Military_and_War,genre.Independent_Movies,genre.British_TV_Shows,genre.Romantic_Movies,genre.Musical,genre.Comedies,genre.Classic_Movies,genre.Kids'_TV,genre.Nature,genre.Cult,genre.Korean_TV_Shows,genre.Movies,genre.Biographical,genre.Superhero,genre.Coming_of_Age,genre.Anthology,genre.Buddy,genre.Parody,genre.Spy/Espionage,genre.Survival,genre.Soap_Opera_/_Melodrama,genre.Dance,genre.Medical,genre.Disaster
30,House of Games,0.0,0.0,0.0,0.0,Movie,,,,1987,R,102.0,"An uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars.",80.0,tt0093223,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Intersection,0.0,0.0,0.0,0.0,Movie,,,,1994,R,99.0,"In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist.",40.0,tt0110146,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Light It Up,0.0,0.0,0.0,0.0,Movie,,,,1999,R,99.0,"The topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. After a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students.",58.0,tt0172726,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Mad Max,0.0,0.0,0.0,0.0,Movie,,,,1979,R,93.0,A chilling drama that combines a futuristic plot with high speed car and motorcycle action. A strange apocalyptic death game between nomadic bikers and a handful of cops.,72.0,tt0079501,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,Madhouse,0.0,0.0,0.0,0.0,Movie,,,,2004,,91.0,"When a staff nurse is murdered at a notorious insane asylum, Clark Stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients.",39.0,tt0363276,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Resident Evil: Retribution,0.0,0.0,0.0,0.0,Movie,,,,2012,R,96.0,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,48.0,tt1855325,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Rushmore,0.0,0.0,0.0,0.0,Movie,,,,1998,R,93.0,An overachieving prep-school youth wages war for the affections of a pretty teacher in this Wes Anderson comedy.,79.0,tt0128445,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Signs,0.0,0.0,0.0,0.0,Movie,,,,2002,PG-13,107.0,Unexplained crop circles foreshadow frightening events for a Farmer (Mel Gibson) and his family.,67.0,tt0286106,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Sleepless in Seattle,0.0,0.0,0.0,0.0,Movie,,,,1993,PG,105.0,A man's son calls into a radio show to find his widowed father a new wife.,71.0,tt0108160,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Species II,0.0,0.0,0.0,0.0,Movie,,,,1998,R,93.0,An astronaut returns from Mars carrying deadly alien DNA that spawns bloodthirsty mutants in this scary sequel.,34.0,tt0120841,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
