title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
It's Always Sunny in Philadelphia,,,85.0,,,,
Life in Pieces,,,77.0,,,,
Snowfall,,,81.0,,,,
Nip/Tuck,,,75.0,,,,
Bad Banks,,,76.0,,,,
Getaway,,,35.0,,,,
Oculus,,,62.0,,,,
Racetime,,,20.0,,,,
Radioflash,,,41.0,,,,
Utopia Falls,,,49.0,,,,
Sea of Shadows,,,81.0,,,,
Alive,,,41.0,,,,
Plunderer,,,51.0,,,,
The Cave,,,80.0,,,,
Princess Cyd,,,75.0,,,,
Getting Go: The Go Doc Project,,,45.0,,,,
Henry Gamble's Birthday Party,,,68.0,,,,
Liz in September,,,37.0,,,,
The Girl King,,,52.0,,,,
Those People,,,64.0,,,,
Charlotte,,,78.0,,,,
Durarara!!,,,78.0,,,,
Erased,,,34.0,,,,
Fate/Zero,,,81.0,,,,
Fullmetal Alchemist: Brotherhood,,,92.0,,,,
Gurren Lagann,,,87.0,,,,
Kill la Kill,,,80.0,,,,
Rurouni Kenshin,,,84.0,,,,
Sword Art Online,,,73.0,,,,
The Detour,,,78.0,,,,
Justified,,,87.0,,,,
"Life, Animated",,,80.0,,,,
Gold Rush: Dave Turin's Lost Mine,,,16.0,,,,
Greener Grass,,,69.0,,,,
Coherence,,,76.0,,,,
Rare Exports: A Christmas Tale,,,72.0,,,,
The Art of Self-Defense,,,69.0,,,,
Rellik,,,49.0,,,,
Beneath the Darkness,,,26.0,,,,
Cabin Fever: Patient Zero,,,36.0,,,,
Catching Faith,,,12.0,,,,
Dark Was the Night,,,55.0,,,,
Kill Order,,,25.0,,,,
Odd Thomas,,,58.0,,,,
The Heart of Christmas,,,23.0,,,,
The Houses October Built,,,50.0,,,,
The Houses October Built 2,,,37.0,,,,
The Numbers Station,,,47.0,,,,
Running with the Devil,,,45.0,,,,
Preacher,,,77.0,,,,
Lo and Behold: Reveries of the Connected World,,,73.0,,,,
Pokémon the Movie: Diancie and the Cocoon of Destruction,,,49.0,,,,
Pokémon the Movie: Hoopa and the Clash of Ages,,,51.0,,,,
Loro,,,63.0,,,,
My Little Pony: Friendship Is Magic,,,76.0,,,,
The Kid,,,52.0,,,,
ID: INVADED,,,63.0,,,,
Marvel's Runaways,,,72.0,,,,
Blackfish,,,82.0,,,,
Fast Color,,,66.0,,,,
Catherine the Great,,,57.0,,,,
My Little Pony: The Princess Promenade,,,39.0,,,,
