,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
9557,s6449,Movie,Samar,Thiru,"Vishal, Trisha, Sunaina, Manoj Bajpayee, J. D. Chakravarthy, Jayaprakash",,,2013,13+,137 min,"Action, Suspense","A young man is in love with a girl but is too busy with other things to pay her the needed attention. She forgives him many a times, but eventually leaves him as he is uncaring towards her; he leaves for Bangkok to find her.",amazon_prime,11.0,tt2187114,Action
9559,s6451,Movie,Purgatory,Ami Artzi,"Tanya Roberts, Julie Pop, Hal Orlandini, Adrienne Pierce, Marie Human, Rufus Swart, David Sherwood, Clare Marshall, Gert van Niekerk",,,1988,18+,93 min,"Action, Drama","Two female Peace Corps volunteers in Africa are wrongfully accused of dealing drugs and sentenced to a vile prison run by a corrupt warden. When one of the girls is gang-raped by the guards and kills herself, the other decides she has no choice but to try to escape.",amazon_prime,2.0,tt0095929,Action
9561,s6453,Movie,Pegasus,Han Han,"Teng Shen, Johnny Huang",,,2019,13+,98 min,Comedy,"Five years ago, veteran driver Zhang Chi was suspended for illegal racing. When he returned to the game, he found himself starting all over again. After some difficulties, he and his car appeared again on the Bayinbrooke circuit.",amazon_prime,30.0,tt9597190,Comedy
9564,s6456,Movie,Kaalidas,Sri Senthil,"Bharath, Ann Sheetal, Suresh Menon, Aadhav Kannadasan",,,2019,13+,120 min,"Drama, Suspense","Kaalidas, an honest policeman, is tasked with investigating a series of apparent suicides in his city. However, it puts a strain on his marriage with Vidyaa, who soon seeks solace in their new tenant.",amazon_prime,15.0,tt8042132,Drama
9579,s6471,Movie,We Still Kill the Old Way,Elio Petri,,,,1968,7+,93 min,Drama,"Two murders in a Sicilian village appear to be crimes of honor, until an idealistic professor suspects Mafia connection. He investigates, not realizing the woman he loves could betray him, if he uncovers the truth.",amazon_prime,43.0,tt0061320,Drama
9581,s6473,Movie,Udhayam NH4,Manimaran,"Siddharth, Ashrita Shetty, Kay Kay Menon, Aadukalam Naren, Kaali Venkat",,,2013,ALL,120 min,Romance,"Prabhu, a young college student, kidnaps his lover Rithika when her father disapproves of their relationship. Manoj Menon, an encounter specialist, is appointed to track them down.",amazon_prime,18.0,tt2872256,Romance
9585,s6477,Movie,Slackers,Dewey Nicks,"Jason Schwartzman, Jason Segal, Devon Sawa",,,2002,R,87 min,Comedy,"When geeky Ethan discovers three fellow students scamming the examination system, he blackmails them to win over the college's most popular girl.",amazon_prime,37.0,tt0240900,Comedy
9588,s6480,Movie,Marina,Pandiraj,"Sivakarthikeyan, Oviya, Pakoda Pandian, Sathish, Jayaprakash",,,2012,ALL,132 min,"Comedy, Drama",Pakoda' Pandian comes to Chennai to run his livelihood. He comes across a host of characters and his perspective on life changes. His cool and casual attitude earns him many friends in the beach. The rest of the movie shows some interesting incidents and the people he comes across.,amazon_prime,48.0,tt2614860,Comedy
9589,s6481,Movie,Mankatha,Venkat Prabhu,"Ajith Kumar, Arjun, Trisha, Lakshmi Rai, Anjali, Vaibhav, Premji Amaren, Mahat Raghavendra, Jayaprakash, Aravind",,,2011,13+,154 min,"Action, Suspense",A ruthless cop has to win a game to save an amount of 5 billiion from a corrupt politician and a local gang,amazon_prime,60.0,tt1705772,Action
9590,s6482,Movie,Magamuni,Santhakumar,"Arya, Indhuja Ravichandran, Mahima Nambiar, Kaali Venkat, Jayaprakash",,,2019,13+,150 min,Drama,Two long-separated brothers end up in life-threatening situations. How do their lives intersect and what happens next is the rest of the movie.,amazon_prime,28.0,tt10370932,Drama
9593,s6485,Movie,Kanna Laddu Thinna Aasaiya,K. S. Manikandan,"Sethu, Santhanam, Srinivasan, Vishakha, VTV Ganesh, Kovai Sarala, K. Sivasankar",,,2013,ALL,133 min,Comedy,"Shiva and his friends fall for Sowmya, who has just moved into their locality. They are forced into a competition to win over the woman.",amazon_prime,12.0,tt2623460,Comedy
9596,s6488,Movie,Kadhalil Sodhappuvadhu Yeppadi,Balaji Mohan,"Siddharth, Amala Paul, Ravi Raghavendra, Sri Ranjani",,,2012,ALL,122 min,Comedy,"Arun and Parvathi give an interview about their love story, but they fight even before the interview gets over. Parvathi has problems at her home, as her mother Saroja wants to divorce her father Akilan.",amazon_prime,23.0,tt2238837,Comedy
9601,s6493,Movie,Deiva Thirumagal,A. L. Vijay,"Vikram, Sara Arjun, Anushka Shetty, Amala Paul, Nassar, Santhanam",,,2011,ALL,160 min,"Comedy, Drama","A man with disabilities fights for custody of his 6-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",amazon_prime,54.0,tt1857670,Comedy
9602,s6494,Movie,David,Bejoy Nambiar,"Vikram, Tabu, Jiiva, Lara Dutta, Isha Sharvani",,,2013,13+,122 min,Action,"The plot revolves around the lives of two different men named David, who are about to take a step which is going to change their lives forever.",amazon_prime,33.0,tt2358412,Action
9604,s6496,Movie,Chandramukhi,P. Vasu,"Rajinikanth, Prabhu, Jyothika, Nayanthara, Vadivelu, Nassar, Vineeth, Sheela",,,2005,ALL,160 min,"Comedy, Drama, Horror","Rajnikant a top psychiatrist from America is on an SOS mission to help rescue his best friend Prabhu's wife Jyothika, who suffers from a split personality syndrome. Rajnikant couples his treatment with exorcism to cure Jyothika.",amazon_prime,57.0,tt0449869,Comedy
9606,s6498,Movie,Champion,Suseenthiran,"Vishwa, Mirnalini Ravi, Narain, Manoj Bharathiraja, Stun Siva",,,2019,13+,103 min,"Drama, Sports","Jones, a polite and talented footballer, is judged by his counterparts because of his financial status. When he learns about his past, he is torn between his dreams and his hunger to seek revenge.",amazon_prime,39.0,tt8367080,Drama
9607,s6499,Movie,Carmen,Vicente Aranda,"Paz Vega, Leonardo Sbaraglia, Antonio Dechent, Ginés García Millán","Spain, United Kingdom, Italy",,2003,18+,115 min,"Drama, Romance","The free and enigmatic nature of Carmen, a woman of great beauty and passionate character, makes José, a military man, become the victim and protagonist of turbulent love affairs and uncontrollable passions, immersed in a chain of fatalism, jealousy and blood.",amazon_prime,33.0,tt0352230,Drama
9611,s6503,Movie,White Zombie,Victor Halperin,"Bela Lugosi, Madge Bellamy, Robert Frazer, John Harron",,,1932,13+,66 min,Horror,"A young man, Charles Beaumont (Robert Frazer) turns to a witch doctor 'Murder' Legendre (Bela Lugosi) to lure the woman he loves, Madeline Short (Madge Bellamy) away from her fiancé John Harron (Neil Parker), but instead turns her into a zombie slave.",amazon_prime,60.0,tt0023694,Horror
9612,s6504,Movie,White Elephant,Corey Moss,"Carmela Zumbado, Coco Jones, Devin Druid, Lana McKissack",,,2021,13+,80 min,Comedy,"Four couples hold on to their college friendships by reuniting every December for a white elephant gift exchange. When nothing goes as planned, their relationships and friendships are put to the test, and they must use the game to fix what's broken.",amazon_prime,33.0,tt14686544,Comedy
9614,s6506,Movie,Tyger Tyger,Kerry Mondragon,"Sam Quartin, Dylan Sprouse, Thea Sofie Loch Næss, Craig Stark, Eden Anne Brolin, Nekhebet Kum Juch, Max Madsen, Alma Martinez, Barbara Palvin",,,2021,18+,92 min,"Romance, Science Fiction, Western","During a pandemic, a selfless woman kidnaps a junkie after robbing a pharmacy and hits the road to distribute ""life saving"" medication, but find themselves trapped in the fringe lands of a law-less psychedelic city.",amazon_prime,49.0,tt8787632,Romance
9621,s6513,Movie,The Red House,Delmer Daves,"Edward G. Robinson, Lon McCallister, Judith Anderson, Rory Calhoun, Allene Roberts, Julie London",,,1947,13+,100 min,"Drama, Suspense","An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods on their sprawling property.",amazon_prime,58.0,tt0039757,Drama
9623,s6515,Movie,The Most Dangerous Game,"Ernest B. Schoedsack, Irving Pichel","Joel McCrea, Fay Wray, Robert Armstrong, Leslie Banks",,,1932,13+,62 min,Action,"A psychotic big game hunter, Zaroff (Leslie Banks) deliberately strands the survivor, Robert Rainsford (Joel McCrae), of a luxury yacht on a remote island. It is here Zaroff begins to hunt Rainsford and a companion, Eve Trowbridge (Fay Wray), for sport.",amazon_prime,70.0,tt0023238,Action
9625,s6517,Movie,The Isle,Matthew Butler-Hart,"Conleth Hill, Alex Hassell, Fisayo Akinade, Tori Butler-Hart, Alix Wilton Regan, Graham Butler",,,2019,18+,96 min,"Horror, Suspense","When three shipwrecked sailors land on an island abandoned except for four sole residents, one sailor starts to question what happened on the island. He must uncover the truth while he battles to save his own life and escape the isle's clutches.",amazon_prime,53.0,tt5075662,Horror
9628,s6520,Movie,The Devil to Pay,"Ruckus Sky, Lane Skye","Danielle Deadwyler, Catherine Dyer, Jayson Warner Smith, Brad Carter, Luce Rains, Adam Boyer, Charles Black, Parisa Johnston, Tim Habeger, Ezra Haslam",,,2020,16+,87 min,Suspense,"When her husband disappears, a struggling farmer finds she is a pawn in a blood-soaked revenge plot that may force her to destroy a decades-old truce.",amazon_prime,36.0,tt7631568,Suspense
9629,s6521,Movie,The Charnel House,Craig Moss,"Callum Blue, Nadine Velazquez, Makenzie Moss, Erik LaRay Harvey, Joe Keery",,,2016,R,93 min,"Horror, Suspense",A modern loft reveals its past when new tenants arrive as this former slaughterhouse exposes the evilness still existing within the walls.,amazon_prime,28.0,tt4633662,Horror
9634,s6526,Movie,Super Hot,Taylor King,"Kandace Kale, Elijah Cooke, Nobuaki Shimamoto, Sam Watkins",,,2021,16+,82 min,Horror,A pizza delivery girl discovers her neighbor is moving into a sorority house of vampires. It's a race against the clock to stop her crush from being sacrificed at midnight!,amazon_prime,11.0,tt12496552,Horror
9635,s6527,Movie,Sundarapandian,S. R. Prabhakaran,"Sasikumar, Lakshmi Menon, Vijay Sethupathi, Soori, Appukutty, Inigo Prabhakaran, Soundararaja",,,2012,ALL,147 min,"Action, Comedy, Drama","Sundarapandian, who goes to great lengths to help his friends, conveys his friend's feelings to a girl who turns out to be the woman he liked. However, rekindled feelings turn their lives upside down.",amazon_prime,15.0,tt2391732,Action
9636,s6528,Movie,Sri Rama Rajyam,Bapu,"Nandamuri Balakrishna, Nayanthara, Akkineni Nageswara Rao, Srikanth, Roja, K. R. Vijaya, Murali Mohan, Brahmanandam",,,2011,ALL,162 min,Drama,"After getting exiled by Lord Rama, Sita gives birth to Lava and Kusa. Under Sage Valmiki's guidance, the boys set out to preach the Ramayana in Ayodhya but a shocking truth awaits them there.",amazon_prime,9.0,tt1783377,Drama
9655,s6547,Movie,My Prince Edward,Norris Wong,"Stephy Tang, CHU Pak-Hong, PAW Hee-Ching, JIN Kaijie, Eman Lam",,,2020,16+,93 min,"Arthouse, Comedy, Drama","Making a living from selling cheap wedding supplies doesn't free Fong from pressure to marry. She's been pushed beyond limits by unaffordable housing, archaic customs, and intrusive in-laws since engagement. More worrying is the comeback of a mainlander she's supposed to divorce out of a sham marriage.Norris Wong's whimsical debut searches freedom for a woman from modern marriage in Hong Kong.",amazon_prime,36.0,tt11070230,Arthouse
9661,s6553,Movie,Meet John Doe,Frank Capra,"Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan, Spring Byington, James Gleason",,,1941,16+,117 min,"Comedy, Drama","A man needing money agrees to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins.",amazon_prime,71.0,tt0033891,Comedy
9671,s6563,Movie,Intern,Michael Lange,"Dominique Swain, Ben Pullen, Peggy Lipton",,,2000,R,93 min,Comedy,"With host of top fashion models and designers, ""Intern"" looks behind closed doors at one of the top fashion magazines SKIRT.",amazon_prime,15.0,tt0202989,Comedy
9679,s6571,Movie,Her Name Was Christa,James L. Edwards,"Shianne Daye, James L. Edwards, Drew Fortier, Rick Jermain, Kaylee Williams",,,2020,18+,120 min,"Horror, Romance","Stephen is a socially awkward, desperately alone middle-aged telemarketer. At a co-worker's suggestion, he goes in search of a prostitute for ""The Girlfriend Experience."" He meets Christa, a streetwise call girl happy to fulfill his needs, until the arrangement blossoms into true love. But what happens when death enters the picture? How far would you go to keep the one person you've always wanted?",amazon_prime,8.0,tt7453138,Horror
9690,s6582,Movie,Europa Report,Sebastián Cordero,"Christian Camargo, Anamaria Marinca, Dan Fogler, Sharlto Copley, Karolina Wydra, Michael Nyqvist, Daniel Wu, Isiah Whitlock Jr., Embeth Davidtz",,,2013,PG-13,90 min,"Drama, Science Fiction, Suspense","When unmanned probes suggest that a hidden ocean could exist underneath Europa's icy surface and may contain single-celled life, Europa Ventures, a privately funded space exploration company, sends six of the best astronauts from around the world to confirm the data and explore the revolutionary discovery.",amazon_prime,66.0,tt2051879,Drama
9705,s6597,Movie,An Evening in Paris,Shakti Samanta,"Shammi Kapoor, Sharmila Tagore, Pran, Rajendranath Malhotra, K.N. Singh, David Abraham, M.B. Shetty, Sarita, Surendra, Jacques Charrier, John Stocker",,,1967,ALL,153 min,"Romance, Suspense","An Evening in Paris Is A Bollywood Romantic Thriller Hindi Movie, Directed By Shakti Samanta, Starring Shammi Kapoor, Sharmila Tagore, Pran and Rajendra Nath In The Lead Roles. Deepa Goes To Paris To Find Love, And She Meets Shyam, An Amiable Gentleman. However, Since Shekhar Needs To Marry Her In Order To Clear His Debts, He Replaces Deepa With Her Lookalike.",amazon_prime,22.0,tt0074503,Romance
9708,s6600,Movie,Alone With Her Dreams,Paolo Licata,"Marta Castiglia, Lucia Sardo, Federica Sarno",,,2020,18+,100 min,"Arthouse, Drama","Lucia must stay behind under the care of her stern and overbearing grandmother in 1960's Sicily, while her parents and younger brother emigrate to France to find work. The girl mopes the days away and grows increasingly curious about her grandmother's hatred towards other members of the family on the island, until one day she discovers the reason why and uncovers a terrible secret.",amazon_prime,31.0,tt10438500,Arthouse
9713,s6605,Movie,A Dog Barking at the Moon,Lisa Zi Xiang,"Renhua Na, Gaowa Siqin, Zhang Yinyue, Jiang Bing, Ming Xing",,,2019,16+,108 min,"Drama, LGBTQ, Suspense","A Chinese family saga, told in different periods of time, commencing with the wife's discovery of her husband's homosexuality. When her adult daughter comes to visit, other secrets slowly come to light.",amazon_prime,28.0,tt9674226,Drama
9717,s6609,Movie,The Inspector Wears Skirts,Wellson Chin Sing-Wai,"Sibelle Hu, Sandra Kwan Yue Ng, Billy Lau",,,1989,13+,97 min,"Action, Comedy","Four new Banshee Squad Members join the Hong Kong Police Academy to undergo training supervised by Madam Wu (Sibelle Hu). Their personalities don't click with the current Squad Members, resulting in petty arguments and duels.",amazon_prime,14.0,tt0094694,Action
9718,s6610,Movie,The Hurricane,John Ford,"Dorothy Lamour, Jon Hall, Mary Astor",,,1938,13+,104 min,"Action, Drama, Romance",A Polynesian sailor – unjustly imprisoned after defending himself against a colonial bully – is relentlessly persecuted by his island's martinet French governor.,amazon_prime,44.0,tt0029030,Action
9719,s6611,TV Show,The Deep,,"Minnie Driver, Goran Visnjic, James Nesbitt, Orla Brady",,,2010,TV-14,1 Season,TV Shows,"Far below the Arctic ice, the crew of an oceanographer's submarine are searching for new life forms. When inexplicable circumstances cause catastrophe to strike, the crew find themselves stranded with no power, limited oxygen and no communication with the surface. And they are completely alone - or so they think. Can they stay alive long enough to uncover the mystery of what they have found?",amazon_prime,27.0,tt1525182,TV Shows
9722,s6614,Movie,I Want You,Mark Robson,"Dana Andrews, Dorothy McGuire, Farley Granger",,,1951,13+,102 min,Drama,"In 1950, small-town Americans try to deal with military conscription.",amazon_prime,12.0,tt0043664,Drama
9723,s6615,Movie,Toofaan,Rakeysh Omprakash Mehra,"Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Supriya Pathak Kapur, Hussain Dalal, Dr.Mohan Agashe, Darshan Kumaar",India,,2021,13+,161 min,Sports,"An inspiring story about an orphan boy from the streets of Dongri, who grows up to become a local goon of his area and how his life changes after he meets the young and compassionate Ananya, who guides him towards the right path and makes him realize his true calling i.e boxing. Toofaan is set in Mumbai, It is a true cosmopolitan city and a melting pot for various cultures and religion.",amazon_prime,35.0,tt11045422,Sports
9724,s6616,Movie,Malik,Mahesh Narayanan,"Fahadh Faasil, Nimisha Sajayan, Joju George, Vinay Fort, Dilesh Pothan, Jalaja, Salim Kumar, Indrans, Sanal Aman, Dinesh Prabhakar, Divya Prabha, Parvathy Krishna",,,2021,16+,161 min,"Drama, Suspense","A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.",amazon_prime,67.0,tt10919240,Drama
9725,s6617,Movie,Topper Returns,"Roy Del Ruth, Hal Roach","Joan Blondell, Roland Young, Carole Landis, Billie Burke, Eddie 'Rochester' Anderson",,,1941,13+,88 min,Comedy,A fun-loving young woman Gail (Joan Blondell) is murdered after trading bedrooms with her wealthy friend Ann (Carole Landis). Her ghost seeks aid from Topper (Roland Young) to find the murderer. The cast includes Billie Burke & 'Rochester' Anderson.,amazon_prime,53.0,tt0034303,Comedy
9728,s6620,Movie,The Westerner,William Wyler,"Gary Cooper, Walter Brennan, Doris Davenport",,,1940,13+,100 min,"Drama, Romance, Western","Judge Roy Bean, a self-appointed hanging judge in Vinegarroon, Texas, befriends saddle tramp Cole Harden, who opposes Bean's policy against homesteaders.",amazon_prime,69.0,tt0033253,Drama
9729,s6621,Movie,The Mimic,Thomas F. Mazziotti,"Thomas Sadoski, Jake Robinson, Austin Pendleton, Gina Gershon, Jessica Walter, Marilu Henner, Didi Conn, Tammy Blanchard, M. Emmet Walsh, Doug Plaut, Josh Pais, Steve Routman, Matthew Maher, Jessica Keenan Wynn, Teddy Coluca",,,2021,16+,82 min,Comedy,"A screenwriter (Thomas Sadoski) explores the lighter side of a sociopath when he befriends a new neighbor (Jake Robinson) on the local newspaper. After unsettling rendezvous, he sets out to learn his true intentions.",amazon_prime,45.0,tt5704368,Comedy
9731,s6623,Movie,The Hitch-Hiker,Ida Lupino,"Edmond O'Brien, Frank Lovejoy, William Talman, José Torvay",,,1953,16+,71 min,"Action, Drama, Suspense",Two fishermen pick up a psychotic escaped convict who tells them that he intends to murder them when the ride is over.,amazon_prime,65.0,tt0045877,Action
9732,s6624,Movie,The Girl in the Book,Marya Cohn,"Emily VanCamp, Michael Nyqvist, Ana Mulvoy-Ten, Talia Balsam",,,2015,18+,88 min,Drama,"Set in the world of NYC publishing, a young book editor is forced to confront a troubling part of her past when a bestselling author re-enters her life.",amazon_prime,59.0,tt2980554,Drama
9734,s6626,Movie,The Bat,Crane Wilbur,Vincent Price,,,1959,13+,80 min,Horror,"Novelist Cornelia van Gorder (Agnes Moorehead), has rented a country house which not long ago had been the scene of murders committed by a criminal known as ""The Bat"". She seeks Dr. Malcolm Wells (Vincent Price) help to unravel the mystery.",amazon_prime,43.0,tt0052602,Horror
9739,s6631,Movie,Relaxer,Joel Potrykus,"Joshua Burge, David Dastmalchian, Andrew Hyland, Mahfuz Rahman, Madi Bachman, Adina Howard, Amari Cheatom, Jeen Na",,,2019,16+,91 min,"Comedy, Drama","Doom and gloom are on the way. The Y2K apocalypse can't be stopped. Abbie's older brother issues him the ultimate challenge before it goes down: beat the infamous level 256 in Pac-Man and no getting up from the couch until he does so. Abbie's survival story begins here; inside a rotting living room with no food or water, and a revolving door of numb-nut friends and acquaintances.",amazon_prime,66.0,tt7952920,Comedy
9742,s6634,Movie,Narappa,Sreekanth Addala,"Venkatesh, Priyamani, Rao Ramesh, Nassar, Karthik Rathnam, Ammu Abhirami, Rajeev Kanakala",,,2021,18+,153 min,"Action, Drama","Narappa is forced to flee into the forest with his younger son, Sinappa, after Sinappa murders an upper caste landlord to avenge his older brother’s death. And now Narappa must make more sacrifices and navigate a deeply unjust justice system to give his son a chance at future.",amazon_prime,27.0,tt11648514,Action
9744,s6636,Movie,Magic Trip,"Alex Gibney, Allison Elwood",,,,2011,R,107 min,Documentary,Ken Kesey's legendary cross-country road trip finally comes to life in this documentary by Oscar®-winning director Alex Gibney and Alison Ellwood.,amazon_prime,43.0,tt1235790,Documentary
9750,s6642,Movie,His Girl Friday,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart, Porter Hall",,,1940,16+,92 min,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,amazon_prime,83.0,tt0032599,Comedy
9754,s6646,Movie,For the Love of Money,Ellie Kanner-Zuckerman,"James Caan, Michael Papajohn, Edward Furlong, Oded Fehr, Jeffrey Tambor, Steven Bauer, Jonathan Lipnicki, Delphine Chaneac",,,2012,R,94 min,"Action, Drama","Based on a true story. One man leaves his old gangster lifestyle for a fresh start. As his past creeps up, he'll have to protect his family - even if it means going back to old ways.",amazon_prime,20.0,tt1730294,Action
9760,s6652,Movie,Detour,Edgar G. Ulmer,"Tom Neal, Ann Savage, Edmund MacDonald, Claudia Drake",,,1945,13+,68 min,Drama,A nightclub pianist (Tom Neal) hitchhikes to join his girl in LA. When the sleazy gambler he's riding with mysteriously dies; he takes the man's identity. But thanks to a blackmailing dame (Ann Savage) his every move plunges him deeper into trouble.,amazon_prime,81.0,tt0037638,Drama
9761,s6653,Movie,Chutney Popcorn,Nisha Ganatra,"Nisha Ganatra, Jill Hennessy, Madhur Jaffrey, Sakina Jaffrey, Cara Buono, Nick Chinlund",,,2000,18+,91 min,Comedy,A woman. Her girlfriend. A sister. Her husband. Their baby.,amazon_prime,37.0,tt0126240,Comedy
9763,s6655,Movie,Bunty Aur Babli,Shaadi Ali Sahgal,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan, Aishwarya Rai Bachchan, Kiran Juneja, Puneet Issar",,,2005,13+,170 min,"Comedy, International","Rakesh (Abhishek Bachchan) is a man of schemes, ideas, invention and restlessness. Small town girl, Vimmi (Rani Mukerji) doesn’t want to become just another marriageable girl. Somewhere along their individual journey, they meet and in a moment of mistaken truth, the legend of Bunty and Babli is born. We follow the duo gig after gig, hiding from an upset policeman, Dashrath Singh (Amitabh Bachchan)",amazon_prime,60.0,tt0448206,Comedy
9764,s6656,Movie,Brotherhood,Richard Bell,"Brendan Fehr, Brendan Fletcher, Jake Manley, Dylan Everett",,,2019,PG-13,97 min,"Action, Drama","In 1926, a band of teenage boys arrive at Long Point Camp for the adventure of their lives. When their canoe capsizes in a freak summer storm, their holiday descends into a soul-shuddering fight for survival.",amazon_prime,41.0,tt8905964,Action
9768,s6660,Movie,Anari,K. Muralimohana Rao,"Venkatesh Daggubati, Karisma Kapoor, Johnny Lever, Rakhee Gulzar, Suresh Oberoi, Gulshan Grover, Laxmikant Berde, Priya Arun, Beena Banerjee, Adi Irani, Shashi Kiran, Sudha Rani, Raju Shrestha, Subbiraj",India,,1993,ALL,171 min,"Comedy, Drama, Romance","A rich girl appoints a simpleton, as her bodyguard. She soon falls in love with him, which creates havoc in his life.",amazon_prime,5.0,tt0106270,Comedy
9773,s6665,Movie,The Surrogacy Trap,Adrian Wills,"Mia Kirchner, Natalie Brown, Rachel Blanchard, David Julian Hirsh, Emma Campbell",,,2013,13+,90 min,"Drama, Suspense","After losing hope of conceiving a child on their own, Christy and Mitch turn to surrogacy in hopes of creating the perfect family. However, their confidence is quickly shaken when they discover that the young woman might not be as perfect as they first thought.",amazon_prime,16.0,tt2353092,Drama
9775,s6667,Movie,The Inheritance,"Chad Barager, Kevin Speckmaier","Natalia Ryumina, Nick Wittman",,,2021,16+,87 min,"Drama, Horror","A woman's inheritance takes her to Europe where she will uncover a dark and disturbing family secret. Once alone in the house, paranormal occurrences begin and slowly intensify, and she soon realizes things are not what they seem.",amazon_prime,71.0,tt12913444,Drama
9778,s6670,Movie,The Dead Lands,Toa Fraser,"James Rolleston, Lawrence Makoare, Te Kohe Tuhaka, Xavier Horan",,,2015,R,107 min,"Action, Adventure, Horror","Hongi (James Rolleston), a Maori chieftain's son seeks to avenge his father's murder and the slaughter of his tribe. Outnumbered by a band of villains, Hongi must pass through the Dead Lands and forge an alliance with the mysterious ""Warrior"".",amazon_prime,61.0,tt3399916,Action
9781,s6673,Movie,The Believer,Shan Serafin,"Sophie Kargma, Aidan Bristo, Billy Zane, Susan Wilder, Lindsey Ginter",,,2021,18+,92 min,"Horror, Suspense","Lucas suspects his wife is losing her mind when she claims demons are waging a war in their urban home. Eerie evidence is mounting that she may not actually be crazy after all, but what she's about to tell him next is that he must do the unthinkable.",amazon_prime,6.0,tt6174150,Horror
9782,s6674,Movie,Standby,"Rob Burke, Ronan Burke","Jessica Paré, Brian Gleeson",,,2015,NR,83 min,Comedy,"In an Irish airport, a woman waiting standby (Mad Men's Jessica Paré) for a flight home to the US runs into an old flame. They discover they're more compatible than ever, but with an ocean between them, is their second chance meant to be?",amazon_prime,36.0,tt1645916,Comedy
9785,s6677,Movie,Serena,Susanne Bier,"Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones",,,2015,R,110 min,Drama,"George and Serena Pemberton (Academy Award nominee Bradley Cooper and Academy Award winner Jennifer Lawrence), build a timber empire. They refuse to let anyone stand in the way. Serena discovers George's past and their marriage begins to unravel.",amazon_prime,39.0,tt1247690,Drama
9794,s6686,Movie,Kaakha Kaakha,Gautham Menon,"Suriya, Jyothika, Jeevan, Daniel Balaji, Devadarshini, Gautham Menon",,,2003,13+,148 min,"Action, Suspense","ACP Anbuselvan succeeds in killing a dreaded gangster but Pandya, the gangster's brother, kills Maya, Anbuselvan's wife. Later, Anbuselvan goes all out to finish Pandya and his gang.",amazon_prime,54.0,tt0375878,Action
9795,s6687,Movie,Guerrilla: The Taking of Patty Hearst,Robert Stone,"Russ Little, Patty Hearst",,,2004,UNRATED,89 min,Documentary,"The Symbionese Liberation Army (SLA). The SLA wreaked havoc on the West Coast and our national psyche, leaving behind a rich trove of paranoid recordings and scores of violent acts, including the kidnapping of heiress Patty Hearst who would subsequently join the SLA under the alias ""Tania.""",amazon_prime,36.0,tt0884842,Documentary
9798,s6690,Movie,Evocateur: The Morton Downey Jr. Movie,"Seth Kramer, Daniel A. Miller, Jeremy Newberger",Morton Downey Jr,,,2013,R,90 min,Documentary,"Rude, crude and beyond outrageous, Morton Downey Jr. was the profane right-wing prince of the talk show with fistfights, a rabid audience and a mouth that wouldn't quit. Today's extreme tv looks tame by comparison.",amazon_prime,44.0,tt1822381,Documentary
9804,s6696,Movie,Blood of Redemption,"Giorgio Serafini, Shawn Sourgose","Dolph Lundgren, Vinnie Jones, Billy Zane",,,2013,18+,85 min,Action,"Quinn had it all: power, money, a brother who idolized him, and a woman who loved him. But he also had enemies. Betrayed by his inner circle, Quinn is set up and arrested. Upon release from prison, Quinn tries to leave his demons in the past, but ""The Company"" won't let him leave in peace. Quinn fights, joining forces with his former henchman, The Swede, to take his enemies head on.",amazon_prime,21.0,tt2510268,Action
9809,s6701,Movie,Ambush at Dark Canyon,Dustin Rikert,"Kix Brooks, Ernie Hudson, Abraham Benrubi, Timothy V. Murphy",,,2012,R,95 min,"Action, Western","Duke Donovan, a famous lawman turned bank robber, plans a daring escape from prison with help from an old buffalo soldier. If he cannot break out, his ex-partner will murder his wife and ruin the legacy of the U.S. Marshals.",amazon_prime,9.0,tt1887923,Action
9811,s6703,Movie,Vazhakku Enn 18/9,Balaji Sakthivel,"Sri, Urmila Mahanta, Mithun Murali, Manisha Yadav, Rethika Srinivas",,,2012,13+,118 min,"Drama, Suspense","A poor Venu works at a roadside shop and loves Jyothi, who is employed in the adjoining apartment. Before Venu gets a chance to express his love to her, she meets with an accident and he is arrested.",amazon_prime,38.0,tt2146960,Drama
9814,s6706,Movie,The Legend of Lizzie Borden,Paul Wendkos,Elizabeth Montgomery,,,1975,13+,96 min,Drama,"Elizabeth Montgomery stars as Lizzie Borden, a 19th-century Massachusetts woman who is put on trial for the brutal slaughter of her father and stepmother in their family home. She is accused of hacking up her parents with an axe after carefully removing her clothes to avoid bloodstains.",amazon_prime,37.0,tt0073273,Drama
